Ligand,Smiles
H05,CN(C)CCC(Oc1cccc2c1OCO2)c1ccc(F)cc1
psilocin,CN(C)CCc1c[nH]c2cccc(O)c12
mescaline,COc1cc(CCN)cc(OC)c1OC
1-naphthylpiperazine,c1ccc2c(N3CCNCC3)cccc2c1
spiroxatrine,O=C1NCN(c2ccccc2)C12CCN(CC1COc3ccccc3O1)CC2
yohimbine,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O
rauwolscine,COC(=O)[C@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2CC[C@@H]1O
[<sup>125</sup>I]DOI,COc1cc(CC(C)N)c(OC)cc1[125I]
fluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
norfluoxetine,NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
norfenfluramine,CC(N)Cc1cccc(C(F)(F)F)c1
(+)-norfenfluramine,C[C@H](N)Cc1cccc(C(F)(F)F)c1
(-)-norfenfluramine,C[C@@H](N)Cc1cccc(C(F)(F)F)c1
[<sup>3</sup>H]LSD,[3H]C([3H])([3H])N1C[C@H](C(=O)N(CC)CC)C=C2c3cccc4[nH]cc(c34)C[C@H]21
SB 204741,Cc1cc(NC(=O)Nc2ccc3c(ccn3C)c2)sn1
melatonin,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
piboserod,CCCCN1CCC(CNC(=O)c2c3n(c4ccccc24)CCCO3)CC1
tegaserod,CCCCCN=C(N)N/N=C/c1c[nH]c2ccc(OC)cc12
[<sup>3</sup>H]mesulergine,CN1CC(CS(=O)(=O)N(C)C)CC2c3cccc4c3c(cn4C)CC21
dihydroergocryptine,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3CC4c5cccc6[nH]cc(c56)CC4N(C)C3)(C(C)C)C(=O)N12
balovaptan,CN1Cc2cc(Cl)ccc2-n2c(nnc2[C@H]2CC[C@H](Oc3ccccn3)CC2)C1
tiospirone,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1
oxymetazoline,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1
5-MeO-DMT,COc1ccc2[nH]cc(CCN(C)C)c2c1
WAY-163909,c1cc2c3c(c1)[C@H]1CCC[C@H]1N3CCNC2
YM348,CCc1cc2c(ccc3cnn(C[C@H](C)N)c32)o1
LY334362,NC(N)=N/N=C/c1cccc(OCc2ccc(C(=O)c3ccccc3)cc2)c1
FR260010,Cc1cn(-c2cccc(Nc3ncnc4c3CCc3ccccc3-4)c2)cn1
idalopirdine,Fc1ccc2c(CCNCc3cccc(OCC(F)(F)C(F)F)c3)c[nH]c2c1
EMDT,CCc1[nH]c2ccc(OC)cc2c1CCN(C)C
sumatriptan,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
MPDT,COc1ccc2[nH]c(-c3ccccc3)c(CCN(C)C)c2c1
iloperidone,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1
dimethyltryptamine,CN(C)CCc1c[nH]c2ccccc12
amitriptyline,CN(C)CCC=C1c2ccccc2CCc2ccccc21
amoxapine,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
[<sup>3</sup>H]5-CT,[3H]C([3H])(N)C([3H])([3H])c1c[nH]c2ccc(C(N)=O)cc12
ICI 169369,CN(C)CCSc1nc2ccccc2cc1-c1ccccc1
Ro 04-6790,CNc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(NC)n1
Ro 63-0563,CNc1cc(NS(=O)(=O)c2ccc(N)cc2)cc(NC)n1
SB 271046,COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1
cyproheptadine,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
fluperlapine,CN1CCN(C2=Nc3cc(F)ccc3Cc3ccccc32)CC1
E6801,CN(C)CCc1c[nH]c2ccc(NS(=O)(=O)c3c(Cl)nc4sccn34)cc12
SB258585,COc1ccc(NS(=O)(=O)c2ccc(I)cc2)cc1N1CCN(C)CC1
SB357134,COc1ccc(S(=O)(=O)Nc2cc(Br)cc(F)c2Br)cc1N1CCNCC1
WAY-181187,NCCc1cn(S(=O)(=O)c2c(Cl)nc3sccn23)c2ccccc12
SB399885,COc1ccc(S(=O)(=O)Nc2cc(Cl)cc(Cl)c2OC)cc1N1CCNCC1
